s_merge_id,classroom_id,student_id,friend_1,friend_2,friend_3,support_1,support_2,support_3,el
112729_172,1127291,1127291172,1127291115,1127291150,1127291103,1127291115,1127291150,1127291103,yes
112584_114,1125841,1125841114,1125841118,1125841123,1125841119,1125841118,1125841123,1125841119,yes
112729_149,1127291,1127291149,1127291171,1127291109,1127291157,1127291171,1127291109,1127291157,yes
112835_138,1128352,1128352138,1128352142,1128352140,1128352204,1128352142,1128352204,1128352140,yes
112675_166,1126753,1126753166,1126753145,1126753294,1126753301,1126753145,1126753169,1126753296,yes
112666_309,1126661,1126661309,1126661312,1126661356,1126661372,1126661274,1126661250,1126661322,yes
112778_137,1127781,1127781137,1127781147,,,1127781150,1127781145,,yes
112784_160,1127841,1127841160,1127841150,1127841158,1127841114,1127841139,1127841157,1127841113,yes
112830_105,1128301,1128301105,1128301122,1128301108,1128301169,1128301149,1128301108,1128301123,yes
112785_124,1127851,1127851124,1127851101,1127851128,1127851120,1127851101,,,yes
112791_174,1127911,1127911174,1127911187,1127911175,1127911153,1127911194,1127911149,1127911186,yes
112884_153,1128841,1128841153,1128841164,1128841120,1128841131,1128841152,1128841131,1128841118,yes
112777_180,1127771,1127771180,1127771168,1127771210,1127771209,1127771168,1127771210,1127771209,yes
112858_249,1128581,1128581249,1128581156,1128581254,,1128581156,1128581254,,yes
112662_117,1126621,1126621117,,,,,,,yes
112610_147,1126101,1126101147,1126101140,1126101149,1126101160,1126101102,1126101111,1126101136,yes
112662_142,1126621,1126621142,1126621102,1126621133,1126621119,1126621119,1126621133,1126621102,yes
112790_228,1127901,1127901228,1127901183,1127901279,1127901208,1127901183,1127901117,1127901208,yes
112685_121,1126852,1126852121,1126852149,1126852147,,1126852149,1126852111,,yes
112726_209,1127261,1127261209,,,,,,,yes
112557_141,1125571,1125571141,,1125571150,1125571134,1125571150,1125571134,1125571142,yes
112594_144,1125941,1125941144,1125941149,,,1125941108,1125941126,1125941111,yes
112672_170,1126722,1126722170,1126722144,1126722159,1126722161,1126722144,1126722159,1126722114,yes
112545_196,1125452,1125452196,1125452107,1125452505,1125452250,1125452505,1125452250,1125452107,yes
112735_108,1127351,1127351108,1127351155,1127351176,1127351138,1127351155,1127351176,1127351138,yes
112540_266,1125402,1125402266,1125402152,1125402298,1125402209,1125402208,1125402298,1125402209,yes
112662_105,1126621,1126621105,1126621138,1126621132,1126621140,1126621114,1126621138,1126621140,yes
112671_480,1126712,1126712480,1126712373,1126712487,1126712260,1126712373,1126712487,1126712260,yes
112735_139,1127351,1127351139,1127351164,1127351145,,1127351164,1127351145,,yes
112666_404,1126664,1126664404,1126664379,1126664122,,1126664392,1126664224,,yes
112723_372,1127233,1127233372,1127233362,1127233237,1127233361,1127233362,1127233237,1127233361,yes
112665_107,1126651,1126651107,1126651129,1126651101,1126651124,1126651124,,1126651122,yes
112606_178,1126061,1126061178,1126061179,1126061172,1126061154,1126061168,1126061174,1126061154,yes
112675_286,1126752,1126752286,1126752160,,,1126752176,,,yes
112624_149,1126241,1126241149,1126241153,1126241131,1126241148,1126241131,1126241150,1126241110,yes
112790_137,1127901,1127901137,1127901190,1127901253,1127901178,1127901190,1127901253,1127901201,yes
112849_139,1128491,1128491139,1128491128,1128491116,,1128491128,1128491116,,yes
112540_603,1125401,1125401603,1125401274,1125401270,1125401300,1125401300,1125401274,1125401140,yes
112675_273,1126752,1126752273,1126752259,,,1126752106,1126752249,,yes
112672_159,1126722,1126722159,1126722170,1126722144,,1126722170,1126722144,,yes
112760_127,1127602,1127602127,1127602701,1127602130,1127602109,1127602701,1127602109,1127602119,yes
112841_144,1128411,1128411144,1128411118,1128411115,1128411116,1128411118,1128411116,1128411104,yes
112611_118,1126111,1126111118,1126111107,1126111157,1126111143,1126111164,1126111116,1126111155,yes
112777_168,1127771,1127771168,1127771229,1127771213,1127771199,1127771135,1127771209,1127771224,yes
112798_132,1127981,1127981132,1127981120,1127981129,1127981144,1127981120,1127981144,1127981153,yes
112671_292,1126712,1126712292,1126712241,1126712488,,1126712241,1126712488,,yes
112584_167,1125841,1125841167,1125841191,1125841174,1125841169,1125841191,1125841174,1125841169,yes
112695_200,1126951,1126951200,1126951118,1126951155,1126951113,1126951118,1126951155,1126951222,yes
112538_147,1125381,1125381147,1125381107,1125381115,1125381109,1125381109,1125381126,1125381107,yes
112538_146,1125381,1125381146,1125381128,1125381152,1125381115,1125381128,1125381108,1125381152,yes
112538_134,1125381,1125381134,1125381111,1125381101,1125381112,1125381111,1125381105,1125381131,yes
112538_114,1125381,1125381114,1125381110,1125381103,1125381122,1125381103,1125381110,,yes
112538_131,1125381,1125381131,1125381111,1125381143,1125381132,1125381111,1125381134,1125381132,yes
112538_144,1125381,1125381144,1125381103,1125381104,1125381122,1125381104,1125381139,,yes
112538_138,1125381,1125381138,1125381105,1125381132,1125381137,1125381105,1125381102,1125381132,yes
112538_103,1125381,1125381103,1125381122,1125381144,,1125381122,1125381144,1125381139,yes
112538_118,1125381,1125381118,1125381119,1125381101,1125381120,1125381119,1125381111,1125381101,yes
112538_122,1125381,1125381122,1125381101,1125381103,,1125381101,1125381103,1125381144,yes
112538_127,1125381,1125381127,1125381144,1125381130,1125381139,1125381144,1125381130,1125381133,yes
112538_120,1125381,1125381120,1125381121,1125381102,1125381137,1125381101,1125381137,1125381131,yes
112538_143,1125381,1125381143,1125381111,1125381131,1125381134,1125381111,1125381131,,yes
112538_132,1125381,1125381132,1125381112,1125381102,1125381101,1125381102,1125381112,1125381105,yes
112538_104,1125381,1125381104,1125381127,1125381103,,1125381144,1125381127,,yes
112538_111,1125381,1125381111,1125381101,1125381131,1125381143,1125381101,1125381129,1125381131,yes
112538_139,1125381,1125381139,1125381103,1125381130,1125381144,1125381144,1125381103,1125381130,yes
112538_102,1125381,1125381102,1125381101,1125381105,1125381137,1125381101,1125381105,1125381137,yes
112538_133,1125381,1125381133,1125381144,1125381103,1125381122,1125381115,1125381103,1125381139,yes
112538_135,1125381,1125381135,1125381133,1125381116,1125381141,1125381133,1125381144,1125381116,yes
112538_141,1125381,1125381141,1125381108,1125381115,1125381144,1125381144,1125381122,1125381108,yes
112539_159,1125391,1125391159,1125391166,1125391144,1125391147,1125391166,1125391144,1125391147,yes
112539_119,1125391,1125391119,1125391163,1125391167,1125391156,1125391152,1125391166,1125391147,yes
112539_149,1125391,1125391149,1125391140,,,1125391140,1125391161,1125391103,yes
112539_130,1125391,1125391130,1125391156,1125391159,1125391167,1125391167,1125391156,,yes
112539_144,1125391,1125391144,1125391156,1125391166,1125391167,1125391159,1125391156,1125391166,yes
112539_165,1125391,1125391165,1125391109,1125391167,1125391144,1125391155,1125391109,1125391162,yes
112539_162,1125391,1125391162,1125391109,1125391144,1125391156,1125391165,1125391167,,yes
112539_148,1125391,1125391148,1125391153,,,1125391153,,,yes
112539_150,1125391,1125391150,1125391157,1125391160,1125391139,1125391157,1125391127,1125391139,yes
112539_160,1125391,1125391160,1125391139,1125391157,1125391144,1125391157,1125391159,1125391150,yes
112539_109,1125391,1125391109,1125391144,1125391165,1125391162,1125391165,1125391162,1125391167,yes
112539_167,1125391,1125391167,1125391156,1125391163,1125391130,1125391156,1125391151,1125391144,yes
112539_155,1125391,1125391155,1125391144,1125391150,1125391167,1125391156,1125391167,1125391165,yes
112539_156,1125391,1125391156,1125391167,1125391130,,1125391167,1125391130,1125391119,yes
112540_184,1125403,1125403184,1125403197,1125403247,1125403261,1125403197,1125403257,1125403261,yes
