fs_classroom,fs_school_id,fl,fs_student_id,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1125451,112545,1,1125451224,1125451237,1125451217,1125451286,1125451217,1125451212,1125451286
1125451,112545,1,1125451275,1125451223,1125451261,,1125451274,1125451261,1125451273
1125451,112545,1,1125451282,1125451269,1125451261,1125451276,1125451269,1125451276,1125451261
1125451,112545,1,1125451234,1125451251,1125451235,,1125451235,1125451251,
1125451,112545,1,1125451213,1125451241,1125451223,1125451202,1125451241,1125451236,1125451223
1125451,112545,1,1125451235,1125451234,1125451247,1125451214,1125451247,1125451234,1125451248
1125451,112545,1,1125451218,1125451248,1125451201,1125451211,1125451255,1125451248,1125451201
1125451,112545,1,1125451245,1125451244,,,1125451244,,
1125451,112545,1,1125451214,1125451222,1125451223,1125451235,1125451237,1125451241,1125451246
1125451,112545,1,1125451220,1125451205,,,1125451205,,
1125452,112545,1,1125452255,1125452251,1125452202,1125452206,1125452251,,
1125452,112545,1,1125452229,1125452243,1125452251,1125452228,1125452255,1125452265,1125452228
1125452,112545,1,1125452281,1125452269,1125452218,1125452282,1125452219,1125452231,1125452216
1125452,112545,1,1125452278,1125452269,1125452282,,1125452269,1125452266,1125452237
1125452,112545,1,1125452205,1125452252,1125452254,1125452247,1125452273,1125452264,1125452267
1125452,112545,1,1125452219,1125452256,1125452261,1125452270,1125452266,1125452257,
1125452,112545,1,1125452259,1125452249,1125452253,1125452244,1125452253,1125452235,1125452250
1125452,112545,1,1125452261,1125452219,1125452270,1125452256,1125452270,1125452219,
1125452,112545,1,1125452243,1125452229,1125452251,1125452206,1125452255,1125452251,1125452248
1125452,112545,1,1125452251,1125452255,1125452206,,1125452255,,
1125452,112545,1,1125452276,1125452231,1125452269,,1125452231,1125452269,
1125452,112545,1,1125452269,1125452231,1125452287,1125452276,1125452231,1125452276,1125452287
1125452,112545,1,1125452262,1125452247,1125452227,1125452248,1125452235,1125452247,1125452248
1125452,112545,1,1125452256,1125452215,1125452222,1125452227,1125452231,1125452222,1125452215
1125452,112545,1,1125452229,1125452208,1125452267,1125452286,1125452286,1125452267,1125452208
1125452,112545,1,1125452226,1125452231,1125452235,1125452230,1125452231,1125452235,1125452269
1125452,112545,1,1125452201,1125452218,1125452222,1125452265,1125452218,1125452241,1125452265
1125452,112545,1,1125452238,1125452227,1125452228,1125452231,1125452235,1125452227,1125452247
1125452,112545,1,1125452231,1125452218,,,1125452269,,
1125452,112545,1,1125452239,,,,1125452231,,
1125452,112545,1,1125452271,1125452272,1125452245,1125452212,1125452272,1125452245,1125452212
1125452,112545,1,1125452273,1125452216,1125452218,,1125452216,1125452218,1125452274
1125452,112545,1,1125452269,1125452278,1125452282,,1125452278,1125452282,1125452266
1125452,112545,1,1125452268,1125452244,1125452220,1125452260,1125452220,1125452244,1125452235
1125452,112545,1,1125452207,1125452228,1125452231,1125452265,1125452231,1125452228,1125452240
1125452,112545,1,1125452234,1125452206,1125452201,1125452251,1125452255,1125452206,1125452265
1125452,112545,1,1125452231,1125452214,1125452244,1125452267,1125452226,1125452239,1125452240
1125452,112545,1,1125452241,1125452213,1125452223,1125452226,1125452213,1125452223,1125452201
1125452,112545,1,1125452224,,,,,,
1125452,112545,1,1125452238,1125452267,1125452205,1125452273,1125452248,1125452202,1125452253
1125452,112545,1,1125452272,1125452245,1125452271,1125452212,1125452245,1125452271,1125452212
1125452,112545,1,1125452276,1125452269,1125452219,1125452261,1125452269,1125452219,1125452261
1125452,112545,1,1125452223,1125452215,1125452213,1125452241,1125452241,1125452213,1125452215
1125452,112545,1,1125452245,1125452272,1125452271,1125452227,1125452272,1125452271,1125452227
1125452,112545,1,1125452246,1125452215,1125452214,1125452245,1125452215,1125452249,1125452214
1125452,112545,1,1125452211,1125452201,1125452218,1125452248,1125452243,1125452248,1125452218
1125481,112548,1,1125481223,1125481208,1125481216,1125481215,1125481216,1125481235,1125481208
1125481,112548,1,1125481215,1125481205,1125481211,1125481233,1125481216,1125481229,1125481205
1125481,112548,1,1125481211,1125481208,1125481223,1125481229,1125481235,1125481218,
1125481,112548,1,1125481227,1125481231,1125481225,1125481235,1125481235,1125481225,1125481231
1125481,112548,1,1125481221,1125481210,1125481222,1125481234,1125481210,1125481222,1125481234
1125481,112548,1,1125481201,1125481214,1125481235,1125481225,1125481225,1125481235,1125481214
1125481,112548,1,1125481225,1125481235,1125481227,1125481201,1125481235,1125481227,1125481201
1125481,112548,1,1125481217,1125481205,1125481216,1125481220,1125481201,1125481223,1125481226
1125481,112548,1,1125481226,1125481231,1125481225,1125481221,1125481235,1125481201,1125481223
1125481,112548,1,1125481208,1125481223,1125481225,1125481211,1125481216,1125481223,1125481235
1125481,112548,1,1125481214,1125481221,1125481234,1125481204,1125481234,1125481204,1125481221
1125481,112548,1,1125481206,1125481214,1125481231,1125481235,1125481231,1125481235,1125481213
1125481,112548,1,1125481220,1125481229,1125481219,1125481216,1125481216,1125481218,1125481229
1125481,112548,1,1125481219,1125481218,1125481213,1125481208,1125481211,1125481212,1125481220
1125481,112548,1,1125481231,1125481227,1125481235,1125481225,1125481235,1125481227,1125481225
1125481,112548,1,1125481229,1125481220,1125481211,1125481219,1125481215,1125481208,1125481223
1125482,112548,1,1125482240,1125482248,1125482237,1125482236,1125482248,1125482237,1125482236
1125491,112549,1,1125491206,1125491204,1125491209,1125491214,1125491214,1125491213,1125491216
