classroom_id,s_merge_id,bs_m_score,school_id,student_id,high_eyes,high_raven,bs_b_score,high_bangla,high_math,friend_1,friend_2,friend_3,support_1,support_2,support_3
,112666_274,4.0,,,no,no,15.0,no,no,,,,,,
,112730_184,4.0,,,yes,yes,14.0,no,no,,,,,,
,112675_201,3.0,,,yes,yes,14.0,no,no,,,,,,
,112784_118,7.0,,,no,no,13.0,no,yes,,,,,,
,134630_137,,,,no,no,,no,no,,,,,,
,112764_712,3.0,,,no,no,10.0,no,no,,,,,,
,112772_139,6.0,,,no,no,12.0,no,yes,,,,,,
,112772_125,5.0,,,no,yes,18.0,yes,no,,,,,,
,112777_140,,,,no,no,,no,no,,,,,,
,112597_140,1.0,,,no,no,20.0,yes,no,,,,,,
,112778_210,,,,no,no,,no,no,,,,,,
,112608_153,,,,no,no,,no,no,,,,,,
,112797_602,,,,no,no,,no,no,,,,,,
,112820_132,5.0,,,no,no,19.0,yes,no,,,,,,
,112723_267,5.0,,,no,no,13.0,no,no,,,,,,
,112585_162,3.0,,,yes,yes,19.0,yes,no,,,,,,
,112773_606,,,,no,no,,no,no,,,,,,
,112672_126,,,,no,no,,no,no,,,,,,
,112800_641,,,,no,no,,no,no,,,,,,
,112726_215,5.0,,,no,yes,9.0,no,no,,,,,,
,134119_110,,,,no,no,,no,no,,,,,,
,112672_118,,,,no,no,,no,no,,,,,,
,112616_112,,,,no,no,,no,no,,,,,,
,112791_610,,,,no,no,,no,no,,,,,,
,112791_613,,,,no,no,,no,no,,,,,,
,112765_140,2.0,,,yes,no,7.0,no,no,,,,,,
,112672_107,,,,no,no,,no,no,,,,,,
,112792_106,,,,no,no,,no,no,,,,,,
,112794_130,3.0,,,no,no,13.0,no,no,,,,,,
